Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
1551697,1,https://sigma.octopart.com/111608766/image/Phoenix-Contact-1551697.jpg,116.71,25,2,Verical 1551697,Verical,1551697,https://octopart.com/opatz8j6/a1?t=zz2amVrPxN8gie2aaHVxlfl4qws-1ACw-0GqTq0d2Cg8tbwkben57wUFPvTIpwn6mFox7un0xPOqaGTiYUOIANJfChIm-l2zgX9kl0AgkZPlvNvnddjLmqs45CRpUJSzq-ps0ELr-cuwueoXijOpXIIgVgIGofH5_-tkxJUm7t704T_YDEigSBcXgQ1Voi2buHwAo9v8UPJI0MoQKlxs0m0tS1s-oJ1Zl2y6O86oHa8Dl4Fa6qDPJ5noefacT0DoTsfJ0EucqzYgLSoDK5IKL4rxUWE,58.36
1693089,1,https://sigma.octopart.com/147279590/image/Phoenix-Contact-1693089.jpg,73.10,15,2,Verical 1693089,Verical,1693089,https://octopart.com/opatz8j6/a1?t=81VK2aPBJ5pPClm-iGrFOVlbsoSmD_zXEQbZq85X8nM1mgXNMtR5EuYyhBMCT6373ao3PklkFhT4cwIxa7AeQBmXbp-zPSLPUrrao_arIjdCJ89_1AZxG62Sba5IwX5jEJjmg4IMXBnPvzuE3gZZCStVTExLy69XSIAUQSMRyxAgk0feBdJWwlFOqUcc11UhfUMRmYnlkEG9LU9D-U07EAaGx1evqFuXrn9cQMpcATC0ifnvGPI13tR9_xWka8LKfdvY4ERen84yIFKuQDImv1lLRZg,36.55
3213606,1,https://sigma.octopart.com/176647106/image/Phoenix-Contact-3213606.jpg,,,,,,,,
1779657,1,https://sigma.octopart.com/187982178/image/Phoenix-Contact-1779657.jpg,,,,,,,,
2904372,1,https://sigma.octopart.com/65726091/image/Phoenix-Contact-2904372.jpg,,,,,,,,
2865010,1,https://sigma.octopart.com/126101620/image/Phoenix-Contact-2865010.jpg,,,,,,,,
2817738,1,https://sigma.octopart.com/59841721/image/Phoenix-Contact-2817738.jpg,64.8,44,1,Verical 2817738,Verical,2817738,https://octopart.com/opatz8j6/a1?t=7dScecGsTBBhyGvrYQV9x8D76fogMXYIp8pyhZnZuQZr_bwtXQj9xGIdS5eVusIMTyuF7yWUJK9Hg8Ettu2oDkVMR8VO7uLMB-niY6SPbCDFC9bOJGsvYVq7zR_1-s91bgXaE1BrZEGivvewfnzlLP-LzfKnj6IfSkeFgl79_WSlgU_J_oJ8s86CMwGqfcEz9VqFkh9NwUyiGw7Dur_KSKvX9SMDFx1OT8ncZyB0atzmqo0MapUcqiVdz52SWnKJubUc5SVFxik50bCBEbl9Ft3lZA,64.8
2865340,1,https://sigma.octopart.com/37531453/image/Phoenix-Contact-2865340.jpg,454.01,2,1,Verical 2865340,Verical,2865340,https://octopart.com/opatz8j6/a1?t=HYvY_P7Duqv0-X5-Uw4wEoC7JiPNAsxFddVBlNCNhmQrKzY3jex8zH6315I01TdugVlIc_DYp2-L1uxAs6gj3e1HyFNuaMLsVCd6CZcef8IXURj1Uoe-7Lal5q7qwQIoVymG6TKrHZ6TCs8J_5Iw_mqxpDXmEjZhUKLV2gpSkOeVxCHjtCjNuY8osfJ6ayBwUfHnOoDFcAEep5fp5oaVwJKdv05H9WrNt-LXta3dJL3XoJWvSS7h2an8LPy4jTeBVWeM-HxW1qegkBBavdLQcSvjmg,454.01
2320429,1,https://sigma.octopart.com/59838334/image/Phoenix-Contact-2320429.jpg,,,,,,,,
1608016,1,https://sigma.octopart.com/158093047/image/Phoenix-Contact-1608016.jpg,,,,,,,,
1419726,1,https://sigma.octopart.com/168516268/image/Phoenix-Contact-1419726.jpg,,,,,,,,
2772080,1,https://sigma.octopart.com/13128702/image/Phoenix-Contact-2772080.jpg,72.89,50,4,Verical 2772080,Verical,2772080,https://octopart.com/opatz8j6/a1?t=6KpCsw-jqAQpjvVLpXm4RdKChm-z1VkM_k2og1W44jRGoeovZpRTjOTZ-JcejOVzAsr9bjyuKHdcQuMT9jW4cBLqYU-Ny47WvyR5dc7ni5ZJF8NAld9z2815ON28oivijFvDdx05TMaF7AbM4mlvq6DpbUfTXSkM2lyT3apT1NOssbcwegKADz2SaRBC5t_uphYh1lwLyNI7veteFyYOvzHmtAXy2tUDDhOYMfTkEiLmT0oslBf3QqXuXUb49i8uF18Er7LIFBRCTQBGm-iZPQEG,18.22
AMT102-V,1,https://sigma.octopart.com/137935929/image/CUI-Devices-AMT102-V.png,19.64,245,1,Verical AMT102-V,Verical,AMT102-V,https://octopart.com/opatz8j6/a1?t=iJ0U9G82bcJTTs1vkWDMlIklFfenCwJD_hyviOWdbcaI7tAX-sfxiop9hcrFz0AqG6hkKdYQ26EckP8ZvWYYAHfY4UvikIyiOWHKpGSu0E2lhEQ4E_aOM5s_ITL-gJR6s2ihre4Gl5kDcldACF_HDIcb6_4WlP6e0ZkrmO-cYUmsvmM5pDhEMV5FZhUds1xj__jLBdGCl3-2Hxrn48UPp0vOgewu_TjqYiioikZeYabEkCWfNXxxSoEb6eYade92HB45Pv_FwoHq61VFR4USfw0YEfyt,19.64
5520705,1,https://sigma.octopart.com/146704093/image/Phoenix-Contact-5520705.jpg,,,,,,,,
1088494,1,https://sigma.octopart.com/178715333/image/Phoenix-Contact-1088494.jpg,130.37,7,2,Verical 1088494,Verical,1088494,https://octopart.com/opatz8j6/a1?t=eJQB38_FWL4uT5h_UUlPufSbUp9hkH1eZslquCjQGaJ_ji5orJJy_pXktMkT_AUlpbhU4p7qN8EcmcqMhXWrxYnG48qQe1qiq4rFRfah0OT19eL5hqc43TqwbNPxhHj2xOTPHuoMbIDHhDvHlVV279c5DYiJempIAb4Cp9RvFeFd4O18mHl0y5-YjTCcd4ivFjRK2dS6HxWiMG8KtuMKzxs4T9lJlHKYnNuvwKoo5glqlkMNEoTekSSRGU8UVH3SOzoKXSWmkHF-vY71Ibjyqg4_BvMdlw,65.18
1860808,1,https://sigma.octopart.com/130305272/image/Phoenix-Contact-1860808.jpg,,,,,,,,
2940090,1,https://sigma.octopart.com/178985879/image/Phoenix-Contact-2940090.jpg,,,,,,,,
1687587,1,https://sigma.octopart.com/123813143/image/Phoenix-Contact-1687587.jpg,,,,,,,,
1827185,1,https://sigma.octopart.com/146482059/image/Phoenix-Contact-1827185.jpg,8.55,30,1,Verical 1827185,Verical,1827185,https://octopart.com/opatz8j6/a1?t=mjtdFOzZjlpt-HHBq_J3sAnl8tRtE9BgnA3I6vRmwGb121gv9qkdh42BU0q_N7vuzaXv_a3f4Y7b-QqPjuarM3xh6Jc4bRJSxnQLguS0MvXN4I1Ch52cZKTU2-mYuaiz2nUQh1-Ktf6O4H-iJcgLlNpF7sV2Hbq27blagjcP5pPicKaSKyptlZwMZb1TVr-Kz__Fjvc9jCgn2wfqGvDpMBP64k4qUtAq5dnVL8GGAFvY0ErI3-G-ybnVM7w05G9jrGlchh-guxq5zcW7kxANQGPGWg,8.55
0903024,1,https://sigma.octopart.com/37529514/image/Phoenix-Contact-0903024.jpg,,,,,,,,
1803701,1,https://sigma.octopart.com/146731375/image/Phoenix-Contact-1803701.jpg,,,,,,,,
3273112,1,https://sigma.octopart.com/168537893/image/Phoenix-Contact-3273112.jpg,71.09,72,8,Verical 3273112,Verical,3273112,https://octopart.com/opatz8j6/a1?t=Wof-x1UpQ1DU2Sec35FGFX7BMdsdT_vQF8sXVY8_Qv6zKeZy_Omx_H1eZaM4WlGxflnaEyeujWYLV8lV5LEWnkidV-WSgrYavlJhXA-v-Y9Rxyb9uShCZaPw6JmSrcXAw5x-aSRGpthlvyKO8FQcGTWtfv7zgLT4K6nr7UJbrTcfedItfff6u58z9aj6viUre0qRs0atriTHBGcOhecmSTEZXscCobs9nu8bX0CJxGa9-mEG1NN-60EzWgBLQxj1RGL2vq14bicHIR5yiwnF1urfWPOL,8.89
1424896,1,https://sigma.octopart.com/146541139/image/Phoenix-Contact-1424896.jpg,,,,,,,,
