Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
PT06A-12-4S(SR),1,https://sigma.octopart.com/21357101/image/Amphenol-PT06A12-4S-SR.jpg,27.79,1036,1,Verical PT06A-12-4S(SR),Verical,PT06A-12-4S(SR),https://octopart.com/opatz8j6/a1?t=qdQm-LH8l9jjlt1clhb-Yd-UUPwIs7tvFd8CU9KM8iH4dQgXuGLi__9kr7gETuN8mMU8-ox40jQBHWLtG_r23A9Q9m89PXyQsp5BwD8DCKODynhR7SyjOBF4WkoRPqtZ7MqLIjTXwLzFmwursLzJWTFzuCMkvSh0JiJevKTz7ZnDf2ELXaAgClUzaGkIOlL9ImydzlEdhHhqS38NWHeLQ1sMNVtMavMm4Lx7yFRyOu9YPlyEJXLWipXADeqdMRNzk2ILe9kyMxRzK8rPxhZ-uJeYg8A,27.79
97-22-10S,2,https://sigma.octopart.com/10060061/image/Amphenol-97-22-10S.jpg,,,,,,,,
PT06SE-14-5S(SR),1,https://sigma.octopart.com/21357621/image/Amphenol-PT06SE-14-5S-SR.jpg,86.70,3,1,Verical PT06SE-14-5S(SR),Verical,PT06SE-14-5S(SR),https://octopart.com/opatz8j6/a1?t=8RnlU-7nS-pnf8CeSFRFG7xfvnqHpsAjbMWgHk8aA0uJqusEkMOapi1oou2L94dbTUu_VHoDcb0yvYSX0wk_6tVZjl2wa06aOZt3AOpRGKMZRp2IYg7p6j1dEF5wWidGR5KXMWSwCqmjcf7oORQJNXzRkJkzR4NDvRSDNdfTEf9uHarPCDlsjtFiKlGLqfm1txTQT2NPrz47ysMutKF5lUV2sTRX2cBEwVvtTtx8D2HMkD8cWzTnwgwbJfAOOK4xXG4g2xkMnyNlULdv7sZgn5eWBLwE,86.70
97-3101A28-21P,1,https://sigma.octopart.com/184121707/image/Amphenol-Industrial-97-3101A-28-21P.jpg,115.22,2,2,Verical 97-3101A28-21P,Verical,97-3101A28-21P,https://octopart.com/opatz8j6/a1?t=NUR1KTsi_eoNgXL2jDBC6w7_6kU52MeZU20YYlN0U6nX_3Mh6n0ghJolKnfF2MgyCJfv67l1cVy0PmGJc-nCcdkNjtcd4MfgnQMsGe_OlPgjYW5AsFlBprBMm0vzvKSSIygTqfxIikz6NNtVRYIx654tFWxKIvedT7ovTP6RFmo21ZjQNyWuxmjNOFXPc4-_vG3OALovvoOAaZmPLbUqXK8rMuhnBNiKMUtBJkGHrvzCXYAaqsJjEezr2FN8I8BN9qC-ChT8Cf4vYqueRGRJ7xKa,57.61
MS27505E13F98P,1,https://sigma.octopart.com/10057652/image/Amphenol-Industrial-MS27505E13F98P.jpg,90.08,16,1,Verical MS27505E13F98P,Verical,MS27505E13F98P,https://octopart.com/opatz8j6/a1?t=FQZZQRPPj21kamA7lkGD6LWJUG6IHqTA-2SpLlbkyoPi76M003NYXMtKvGIXEwnx41YTwv1M40RomTaOu2vziPWtGkQFNCYkmmrDTmEbRX8hapjkXBRuZWhXzUnOO1_06HeT14VgyCaVtS3ixFv3x7QZCjD7dLai7CDFDl1C5arrtUhr-DqSgwr4eH46nKLtqUr2L-UD1jCiLKQYiCcVkwVM9NbaFPd6f4ZXLRM_Lhs17d71VDIHzTfxTVMnKs9DpAeZNVOHmtDMw4f2d_8zndGqhKCI,90.08
97-3106A-24-2S,1,https://sigma.octopart.com/21355051/image/Amphenol-97-3106A24-2S.jpg,43.03,18,1,Verical 97-3106A-24-2S,Verical,97-3106A-24-2S,https://octopart.com/opatz8j6/a1?t=4JWMHGa6w6wT8DZXiCDY6c1AC8npHpHO5DE5SVvMWtc1ELP62JkrNtvNRtHqD39SvvJ8lM0aNjm1fCk-SqXXAN_uQ9V2UaRjkjcFB0kV6OUjhRDqJanpQbmKjRVeeup1DeWWfzR7yjh5a3sRA6azG-azhZ2h2LcBRUGkb2bStxg9_uGSgk1m07daJNnYiiviOGuwkVw7KtouiGkTmBax5ywae4saGk1Ogo3pcV67M3lIfUtPnf6NBOsPixb4lghG3MQ6ViywYBYY99kBd-bw4hXVk0w,43.03
PTB12-10PS,1,https://sigma.octopart.com/139866361/image/Amphenol-PTB12-10PS.jpg,106.06,30,2,Verical PTB-12-10PS,Verical,PTB-12-10PS,https://octopart.com/opatz8j6/a1?t=A585627HnxFF1peAHK_Q6VdphnbePga1R5tJOuqp_KUTD_Fe0F1Qy8cJy6YpDWvwFJoWz_UQ1OaxnMNohrdyYZt9HXmWRD24CetrdsFhITRoAal4qh2596B5PlUpZBJyBvrLv9TbLRDKj-wm7o5mWkwz3Rq9tGAZIQxQLvTuTWY4AaFHybCdRIQqQdESRxNXW3YqW4C6WkBUU0YMuEuwPV3fK0qkxVcaiMzpgef_L-xDspAJooEgT5DhHjlc3CcDOwpZkFREYtbalSc1pSyiVEntCck4,53.03
MS3106A20-15S,1,https://sigma.octopart.com/21356582/image/Amphenol-MS3106A20-15S.jpg,122.04,265,2,Verical MS3106A20-15S,Verical,MS3106A20-15S,https://octopart.com/opatz8j6/a1?t=i-cNLz3EnBWLHnUk7WvWrAFiCkl5Mu51Hvti4gCMAg4A9t2bCweeM1j0I5YSNFeixX9_gr6Jk6mpQ7RitEphtH8Q3vE2lqKOajcWvcqFTqwFvi8VH5gpOa4pjEtVbG5Huf64XdN002W30pbS_LDX1jNGHu53V7BUM2s3Qrg6f4GSzf6aqTPa_Ki8MQk5V41IVgCfzWhco46tYKYQsfilY7Yp1WP0ta4pCkHW0qBetlGXfenLWoz68exV-BCCu79xr90HKiaqa0cPYBTD4baYtdGb,61.02
97-3108A-22-22S,1,https://sigma.octopart.com/21355051/image/Amphenol-97-3108A22-22S.jpg,,,,,,,,
BA3-X0-04-129-221-D,1,https://sigma.octopart.com/41186813/image/Carling-BA3-X0-04-129-221-D.jpg,,,,,,,,
