Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
RU4S-A110,1,https://sigma.octopart.com/10119211/image/Idec-RU4S-A110.jpg,,,,,,,,
HW1F-2F11QD-S-120V,1,https://sigma.octopart.com/155415439/image/Idec-HW1F-2F11QD-S-120V.jpg,,,,,,,,
AL6M-M14P-A,2,https://sigma.octopart.com/168139190/image/Idec-AL6M-M14P-A.jpg,,,,,,,,
FB1W-HW1B-X402R,1,https://sigma.octopart.com/14216522/image/Idec-FB1W-HW1B-X402R.jpg,,,,,,,,
AP6M122-R,1,https://sigma.octopart.com/146060945/image/Idec-AP6M122-R.jpg,,,,,,,,
RR3PA-UAC120V,2,https://sigma.octopart.com/168143031/image/Idec-RR3PA-UAC120V.jpg,,,,,,,,
LB1P-1T04Y,1,https://sigma.octopart.com/183033039/image/Idec-LB1P-1T04Y.jpg,,,,,,,,
RH2B-ULCDC24V,2,https://sigma.octopart.com/37508305/image/Idec-RH2B-ULCDC24V.jpg,,,,,,,,
RV1H-G-D60,1,https://sigma.octopart.com/21399587/image/Idec-RV1H-G-D60.jpg,,,,,,,,
LB2L-A1T64G,2,https://sigma.octopart.com/168142488/image/Idec-LB2L-A1T64G.jpg,,,,,,,,
RR2P-UDC12V,1,https://sigma.octopart.com/10062941/image/Idec-RR2P-UDC12V.jpg,,,,,,,,
ALFW29911D-G-24V,1,https://sigma.octopart.com/14216522/image/Idec-ALFW29911D-G-24V.jpg,,,,,,,,
LB7L-M1T54PW,1,https://sigma.octopart.com/158568134/image/Idec-LB7L-M1T54PW.jpg,,,,,,,,
06AK2D,1,https://sigma.octopart.com/148061283/image/Delta-06AK2D.jpg,1019.52,0,72,Future Electronics 4178976,Future Electronics,4178976,https://octopart.com/opatz8j6/a1?t=B_oEDylNgf8IQDP8kTCPWGfG0V397EJJdkoajFipK0D7KtJgfRD50xp3tlOk_ucR-U77bX3NxcXcHjIwgObXUeNQ7zUpJ4Fh08m-YKzp6xFpIm3Zb4A7-kdF3F4Ctd4O_Gw8hVyxLEgN7prFDprbHeBlIcRhqt32sb-bqsJhsRHwbtZb21nxAbK80Rg2S266xJVWRN0Iw_gtSojnCIdUsk2BweDcP6YmUjE7h7dITMR1qIhfbnXfoQSCnuNR3S063ScmBdQlOiWc0RrpI9q0XEaGsAs,14.16
15SEEG3S,1,https://sigma.octopart.com/176842498/image/Delta-15SEEG3S.jpg,,,,,,,,
FFB1224SHE-R00,1,https://sigma.octopart.com/178454145/image/Delta-FFB1224SHE-R00.jpg,,,,,,,,
BFB0724L,1,https://sigma.octopart.com/178453544/image/Delta-BFB0724L.jpg,,,,,,,,
BFB0524H-R00,1,https://sigma.octopart.com/178453537/image/Delta-BFB0524H-R00.jpg,2540.16,0,224,Future Electronics 7088622,Future Electronics,7088622,https://octopart.com/opatz8j6/a1?t=GjEQCIV0EyssmK54z9ARV99JRFSaN9IDd2NiJmAvQHEvwEzVCO7gOu5mJOhnGJTHalt8SAEhccGM6kC7qNjDSVjXsC7ur9L17ciUzNIIwuH321XPgMeoFgn7fmIjn2fRNai41uC87cjR5e9CEmDOTelVAd49lxc9yvL19n1D76-g59c8sUhjQHpzJZ9jcwFBCcjdfT5-gW-Y4od6fGDkDltzZ96IvqfEEYxYlt2BYXXJ1rpPS-reJsCgM_diulY_0IL44f7IQIHYCDboVaJm3ItlbJw3,11.34
AFB0405HHA-A,1,https://sigma.octopart.com/178452767/image/Delta-AFB0405HHA-A.jpg,7.23,0,1,Future Electronics 5069201,Future Electronics,5069201,https://octopart.com/opatz8j6/a1?t=Ypuoo32e3uDeT6x7rfBlgL11jzOVrtkG5O-Gr3si3pAExWa89ygRDenhRGjIhzoT-IwRC1-x8uaBTfqs3T2UkKR1IVuSxRoWCNsxrrzyYkwXW8SXevnQNSBXpv3LghIAZODPHe_jc01dAl8uGZGXsxMdzJJ0uxbTWjQexwaJxsbEhl7ZzrECs_zFZXpjkgXjJ_2NipLKw5EL3FHbPDJKfJP7LvV4Gzfk_ENrLv_fSMmohXJoMgeSgD3uuISy_No2i1akj8coGSRhM9DhC2DBVk-SRe3Z,7.23
AFL22AUHW-R220DH,1,,,,,,,,,
S24SP05008PDFA,1,,,,,,,,,
03DRDW3S,1,https://sigma.octopart.com/136810490/image/Delta-03DRDW3S.jpg,,,,,,,,
AFB1212VH-T500,1,https://sigma.octopart.com/178453107/image/Delta-AFB1212VH-T500.jpg,909.90,0,54,Future Electronics 1185698,Future Electronics,1185698,https://octopart.com/opatz8j6/a1?t=vkV0N3fNUkR90jrWJCd3-UYSaBP8w3siWqXGItIZDSk81yQ46CCieER2NaQCcNa6mDbxUPeNmm3UNCqWjLxviosbQriN7vXzCU3Fhfd_7Z9Z11X3HfQPykJ6QUlw50eZN8_pWXNS2H0mJfYkw0SEZHKffqpKhzgsZ11x6dZ8u88rpQ5VqwPjaE_YxCW5oYVDU_FHM9Pjsbp2jsuTc4ANCqhNv6FpaU2Wipf6VYzSkATVRnRHJWrcGQ9iqBCvxHQ9FmAIxnaAaMt0mvTLzgWoRdGejNFu,16.85
MDS-300ADB48,1,,,,,,,,,
BUB0812HN-00,1,https://sigma.octopart.com/163681351/image/Delta-BUB0812HN-00.jpg,,,,,,,,
Q80SV24006PRFS,1,,,,,,,,,
AFL2212LW-00GYQ,1,,,,,,,,,
FFB0924EHE-R00,1,https://sigma.octopart.com/136811128/image/Delta-FFB0924EHE-R00.jpg,,,,,,,,
E35SE24006PDPG,1,,,,,,,,,
03AK2D,1,https://sigma.octopart.com/176842506/image/Delta-03AK2D.jpg,,,,,,,,
PC02D1215A,1,https://sigma.octopart.com/34252540/image/Delta-PC02D1215A.jpg,,,,,,,,
GFB0912ES-E,1,https://sigma.octopart.com/178454153/image/Delta-GFB0912ES-E.jpg,,,,,,,,
E35SE05030PDPG,1,,,,,,,,,
PB01S2405A,1,https://sigma.octopart.com/34252539/image/Delta-PB01S2405A.jpg,,,,,,,,
30DKCS5B,1,,,,,,,,,
LNE-12V150WDAA,1,https://sigma.octopart.com/148062921/image/Delta-LNE-12V150WDAA.jpg,,,,,,,,
PMH-24V100WCLS,1,,,,,,,,,
FL75L20 A,1,https://sigma.octopart.com/176846081/image/Delta-FL75L20A.jpg,,,,,,,,
03DPCW5C,1,https://sigma.octopart.com/176842518/image/Delta-03DPCW5C.jpg,,,,,,,,
PH02S4805A,1,https://sigma.octopart.com/32780882/image/Delta-PH02S4805A.jpg,,,,,,,,
FFB1312EHE-F00,1,https://sigma.octopart.com/148062909/image/Delta-FFB1312EHE-F00.jpg,,,,,,,,
MDS-040APS12 BA,1,https://sigma.octopart.com/148062924/image/Delta-MDS-040APS12-BA.jpg,14.61,0,1,Future Electronics 2080033,Future Electronics,2080033,https://octopart.com/opatz8j6/a1?t=jkHbWZrqR-73Lh0vczvwD2LokTMI_S6m4-le3KqjLyNb6Ygyrgu6IOLakd6GiK__2dSzQ0pq_m_beGTvTvTv8DvAm1Hipq8uNwG-pwebVHVDdm36CqlPuUSftXviJbeuBu-fr7_USdVlG-hpk-EabRVlEVg7fst3hZZpVWMIoRN6sj-cRcQIlAWjcFJymsUQsYYojFu539_WKhzMjK_MIPkDJjuDR-aAvqth-Z1aZP0vWvgRmfiq1wiwIQGWSDnu6Z34HUR10mD7gzHf4BCKojim2e8P,14.61
THD0612VE-00,1,https://sigma.octopart.com/155922598/image/Delta-THD0612VE-00.jpg,,,,,,,,
21TDT1W4,1,,,,,,,,,
FFB0412SHN-R00,1,https://sigma.octopart.com/178453929/image/Delta-FFB0412SHN-R00.jpg,13.19,0,1,Future Electronics 2963080,Future Electronics,2963080,https://octopart.com/opatz8j6/a1?t=5Rz_ND1BbhZH79QHN9pKvsImWrvPKrckw2UYtp0BooaxEb1nPaVvQ5I7ltNj3kbq1VWAlNLv9Q_u47vULo9L2cYkxmH4K07pAfXSd0xnq-i70Fds8qKC-BcLeOXJ-CwXhDrNOxpb9hhJBmmXgXHAg2lpKmr3M_dw8q8DqFH9jMZ4Bnb4t4JSw5aoiPJhFSILZhh1BOiZe0b4Bp1nQOt5xiFeiDYmqaB4A4XXADYqsYLyJIdA2nODo9DSKxCSAuQcNldKN-Do8kWOJhad5L8cRGra7MP8,13.19
FFB0824VHE,1,https://sigma.octopart.com/136492265/image/Delta-FFB0824VHE.jpg,,,,,,,,
FFB03812MN-F00,1,https://sigma.octopart.com/113825593/image/Delta-FFB03812MN-F00.jpg,,,,,,,,
LNE-36V120WDAA,1,,,,,,,,,
FFB0912HH,1,https://sigma.octopart.com/178454141/image/Delta-FFB0912HH.jpg,,,,,,,,
DH06D1212A,1,https://sigma.octopart.com/23745963/image/Delta-DH06D1212A.jpg,,,,,,,,
AFB0612HD,1,https://sigma.octopart.com/16996225/image/Delta-AFB0612HD.jpg,,,,,,,,
