Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
DPC01DM48,1,https://sigma.octopart.com/37490333/image/Carlo-Gavazzi-DPC01DM48.jpg,311.38,1,1,TME DPC01DM48,TME,DPC01DM48,https://octopart.com/opatz8j6/a1?t=N9PmsbmubzG6msB6kr5g3ER3D4c0ym_vEJpx4bXKrD9i241Y3f2n1ubc2UmaaTCTrIPafQ8ZgoTCthp02h2s5NU834iNTr83lwTl5A_LyuLRGm4ZIZKRPrvMyK7Leq4OBHH3W-vAZJbIrEKzHhvDseVY9lfOlLkfvf5j9b2VFGAQhxfaeaZkAbXwyjg8K0-HwXccMS-TaDQb2r7qTlWNn096GJG-AD5IT-uJOTrFLPYXdPBzArrj4EaDjJ9R-Vu4cLL-sDOAPzXOj3SyBMbloU-SZg,311.38
IM1-22EX-R,1,https://sigma.octopart.com/147068221/image/TURCK-IM1-22EX-R.jpg,,,,,,,,
2903149,1,https://sigma.octopart.com/178514978/image/Phoenix-Contact-2903149.jpg,179.76,0,1,TME TRIO2G/1AC/24DC/10,TME,TRIO2G/1AC/24DC/10,https://octopart.com/opatz8j6/a1?t=OOa_CxFRJvHL0OdOt5aOWzWsvJlbH9N_6GwGjy_epmk66s23CH63kGtYUG8ILtdaaz7rAZ9kA47dH-D_i-nzZan1N0RVpFxMMK6E9nZ0sq_7CcyKac1XY9tBdog1SF2sldAtgS_MuKlOnaxyBd310UBDDTIX35KJIxY8eaafnv1xrjiXWBsDQ2CLGfKZXCfiKG0O1mPG195Z5AnKydpK05elMQp0pCN5DvR9N6r0jA9EAhYFG4J0CB-k6__pUwsk9vXsumNhSRGS1S3cRjW9WwrAdx8F,179.76
2903148,1,https://sigma.octopart.com/178484428/image/Phoenix-Contact-2903148.jpg,106.25,0,1,TME TRIO2G/1AC/24DC/5,TME,TRIO2G/1AC/24DC/5,https://octopart.com/opatz8j6/a1?t=xf8M5Jxk3CK7Q2aeMFex7TgHnTokXVC7IIyhBSeTLSOuoXLqubLBLu9HdB1zB5q9ofkxaU2EkIZkXRoZP5wtCcrQTEiooFGJ-qmgffeYiCxJ6OT50_bJd1IwipSDMNAOH6ahdqXKoV5aZVI-HLLxjJJgCQZ2DrVeidfKQL7EBkOKI-3jZ8YG34vjJN38vDVk0dGlz2jPhsYIj-IHWUmd90OK51HCg95KjkgV079jSQ7ZOiTDDODdzmhLd6UPUN4ugMQEv0TMEhNyHzKv1DJyQ_pN8II4,106.25
11-03-0022,1,https://sigma.octopart.com/147876776/image/Molex-11030022.jpg,53.6,3,1,TME MX-1103-0022,TME,MX-1103-0022,https://octopart.com/opatz8j6/a1?t=mQyUJBpmOD4eGPdvVS_Nlju_kxM8cnTZIK4F8jzDE1U5Be9iwOiBFh7pFMokA8CsSGpS7dbozn9H57Q1vHr-t8Cmu0UQJIEe79LxM-HApiWUMNApBHYX1FhSAL_WmUNz6r_RXkzaWppyjFyRD5EK_vtvGGRo0ADPgCOWtqKckPEb_6WmIpCaVMWhvnogt_m6HSUzRCGCM-FTzyGzlsnaE6R14t6VQ8QYX6uE4jqBMWwdYmSA6ZDVEi1SEhUB3vkgnMt446SsKr_rF4PDPmaHyClIBw,53.6
1323580,1,https://sigma.octopart.com/37150216/image/Kulka-1323580.jpg,,,,,,,,
RH2B-ULDC24V,10,https://sigma.octopart.com/97456702/image/Idec-RH2B-ULDC24V...jpg,,,,,,,,
30TDVST2,1,,,,,,,,,
PSB30W-0700-42,1,https://sigma.octopart.com/148091577/image/ERP-Power-PSB30W-0700-42.jpg,,,,,,,,
ESP040W-0700-56,1,https://sigma.octopart.com/150595323/image/ERP-Power-ESP040W-0700-56.jpg,,,,,,,,
NBN40-L2M-A2-V1,1,https://sigma.octopart.com/123579731/image/Pepperl-%26-Fuchs-NBN40-L2M-A2-V1.jpg,,,,,,,,
BL1R16MV1,1,https://sigma.octopart.com/168018572/image/Crouzet-BL1R16MV1.jpg,102.19,11,1,TME BL1R16MV1,TME,BL1R16MV1,https://octopart.com/opatz8j6/a1?t=6C-Zs4VZREKLMbUt4dDEWWBnLm3R1pQTgawgCxbH-GRwWNyQZGLMcIbMw3jUxBwxZF_9BB6psy6GsB4dgvyFBXU8k765Bdtjwxe7cg31zAKAacFh-oLzBJSuS6EfNpha6pTteiWuuQ7RtV_S2AJRnywoPfmCOa6nhNHOYhPMpV_Nkad-ZQQo1JylXiMAzgt7mBmifoFcTQ63bhnv4mVt5XVfYzOISmzc6xg65riv83a1FHyYHk-jfcfRtmHoTSQhrfSpgJ3etLbwvugwNJf_nT_cgWg1,102.19
SLU-100-ASD,1,https://sigma.octopart.com/170574156/image/ATC-SLU-100-ASD.jpg,,,,,,,,
IK250-73,2,https://sigma.octopart.com/122015921/image/Carling-IK250-73.jpg,,,,,,,,
TTGC-TA201-TW-B,5,https://sigma.octopart.com/141937094/image/Carling-TTGC-TA201-TW-B.jpg,,,,,,,,
974-S,1,https://sigma.octopart.com/27620369/image/Linemaster-974-S.jpg,,,,,,,,
491-S,2,https://sigma.octopart.com/168186010/image/Linemaster-491-S.jpg,,,,,,,,
241-5-10,1,https://sigma.octopart.com/149826515/image/Signal-Transformer-241-5-10.jpg,,,,,,,,
ECM100US12,1,https://sigma.octopart.com/10068891/image/XP-Power-ECM100US12.jpg,100.1,0,1,TME ECM100US12,TME,ECM100US12,https://octopart.com/opatz8j6/a1?t=sR_NhlL-WsXfvzLFGnD187DhnoJJR7uvZQAG4AzS9_XFbmIc3cW6Z8Nck_CyVVKjwCYE4sdfDXWcg65td6HaI66eEr2P4SGwdrRKr6x_nL5Y5c5Avbv3FDybBxlePz-8NpWwfhCPaU8A65kVzMsxF9v4DzfgisKUMhQqpupcviUzocsNo-4PKJljU-Y3xIvjqPcHS6fxv7QLcARzugGpufWxD3ZGpkoIJNrlyaQKDVB9qU4JE1RKSpXzhmpggKFFX2pjoQgn0hluXLLiQf-RwR2rqYD6,100.1
ICE40UP5K-B-EVN,1,https://sigma.octopart.com/148154177/image/Lattice-Semiconductor-ICE40UP5K-B-EVN.jpg,,,,,,,,
PCM50US24,1,https://sigma.octopart.com/10071489/image/XP-Power-PCM50US24.jpg,,,,,,,,
LDC15F-2,1,https://sigma.octopart.com/149630384/image/Cosel-LDC15F-2.jpg,,,,,,,,
LS100-5,1,https://sigma.octopart.com/155403344/image/TDK-Lambda-LS100-5.png,39.75,0,1,TME LS100-5,TME,LS100-5,https://octopart.com/opatz8j6/a1?t=ZV1IIox62LIwxN-p79EKxQiKjV07GN6ztrsCwsH-FbUwuohsO5CZnlRDWLrsCnT-E8X2yJfV3vV3RsVlU-s4lWqBMqzbP6UsfOrKQJ7oqEup1GpNOSatSnD6BASgY6EcBGxnGe8JWZ5DLuHxN1SwnpR9tSHvFA_gKF_hqWO2GLf9m4khTqgc4oS_9t-Sp_YuEhLt-mZHP5l6OBG4T9n-y9crZBIsR_5bHGrxHglhBLfEOtv1wCRAvDqTSKEm-MQvYwp2xCLwbd7oqK0Jjf1jcCXNoTE,39.75
N-53MG,1,https://sigma.octopart.com/8719331/image/Triad-Magnetics-N-53MG.jpg,,,,,,,,
VPT48-5200,1,https://sigma.octopart.com/10049818/image/Triad-Magnetics-VPT48-5200.jpg,,,,,,,,
DNR60US12,1,https://sigma.octopart.com/523865/image/XP-Power-DNR60US12.jpg,68.78,2,1,TME DNR60US12,TME,DNR60US12,https://octopart.com/opatz8j6/a1?t=cxQUj7-WR84fxBMIUTsHBa68zs49oKAkVSIxqVts_RqZNC85etr6vF-S0QFVu_UKEhGRb3ZC8gvNQANlsEkSykzFnQ7dtpjOvNBW4SSvBtwSy0S97_fBS8Zt4qt8HE01UKwX-vuTSyj58paLK58Rm8o5di0PnQ2papxa5pD2U2VqUqeJCc73FUQSuNciAL-OGWLjyUsvvOGopxC8vvI4tCjoGhVlE4oTP1JS8-2LH9cI9J8WXBG_EbUvE1Q3smv3wGbWzFYkScAdaHtAoPThBcIF9ak,68.78
AHM150PS15,1,https://sigma.octopart.com/8853210/image/XP-Power-AHM150PS15.jpg,,,,,,,,
