Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
DPC01DM48,1,https://sigma.octopart.com/37490333/image/Carlo-Gavazzi-DPC01DM48.jpg,217.55,8,1,Mouser 225-DPC01DM48,Mouser,225-DPC01DM48,https://octopart.com/opatz8j6/a1?t=qdjype2SJd4btTFvzkeTGbQnSgVrmtL5FHOSXv-u1PY2VvWKBklZiDqHiRo7lkQUWFZc9MmmQ-MkX3Ykn_t5Z6YPJXG1iar2o9SZY1-YUWDRAwIoUcMz5grQ3yQxhNHViI-vAHXm5I-DBUdg-syzRpi5sDt_nggcFdc_QbQ7yI2el-HySWuFz-98QwqOP5cn7llqT-jRvf1vhgPX0TYUlnpY3SaEy6zrLyyjcga2jV_MEd_Ny-xl6nCTxrJpD6FmRXKmmwcL84iQFtxy0OeIKid6eg,217.55
IM1-22EX-R,1,https://sigma.octopart.com/147068221/image/TURCK-IM1-22EX-R.jpg,,,,,,,,
2903149,1,https://sigma.octopart.com/178514978/image/Phoenix-Contact-2903149.jpg,230.75,6,1,Mouser 651-2903149,Mouser,651-2903149,https://octopart.com/opatz8j6/a1?t=2H7JpL4mgFrV_CKvovlWBGBi9MsgkO6OQMJvLJ0ha4iU64wBa1drPtGibKbjhFzaUspIhlKqOg7CrUtzZHzaLv-DWb9OxRtgMJbqPlPjEVllZxJPTHwoS3A9GEnb3a2rJo8vmxl6G80ubPLTidUFDmZPDyHI2SiGbRIyLHPm0rMLaHOpBF94NTjd-6xH0tKODZTC2-6M4UieI--xsRDnhtTK3DVjmmZK6ljALbO63rcSIfJP-TH8yjiEsl2FSQ9plVckkXBSQNvKe0shFsz6gLqdGRqu,230.75
2903148,1,https://sigma.octopart.com/178484428/image/Phoenix-Contact-2903148.jpg,133.31,86,1,Mouser 651-2903148,Mouser,651-2903148,https://octopart.com/opatz8j6/a1?t=O8ECfdddvvqJvXnjG6cfZx1L06sJtToBo4OKTGtIZ_63yc4xBYL33roW9N-1gQOGDsg4i8BF-meUk92H7s64XFvm0-AJFDn2z5wfFWFixY-J8yLzfoSIjlea1mG-uAowxgKQSAzmRvkmQiryEZJabNIq2a9lu6b_A-WAkjdGyo9zq6StgjYDcTKtnImBY6sUL_MH7c2tkqjdbUV_v9FeYZEPWakzZ0jqLQf6UWnx-TjbO2MrQQCUlYihwnaWAKwlVzOiaLnx5O-B2qsABCCnDmWUTUVZ,133.31
11-03-0022,1,https://sigma.octopart.com/147876776/image/Molex-11030022.jpg,45.78,44,1,Mouser 538-11-03-0022,Mouser,538-11-03-0022,https://octopart.com/opatz8j6/a1?t=p_5rpWkFUeLee_izXVzDgVgSid7yqZ2N9nI0dAq9suMRg0EE5pesr1vXau_vS5dnBGHeaccmqFkJH3qPRYJ2XCrE9GSOhHkUqw2BgSOTiG1MZRS12wcI9JvEicuoOk-lY8-bTaa8MEjfBGSmPzWAiCrmDB9A4kRet5C2d27qlZtd8z6cYZck7kVt_6rLnS_98F9_dXYiUBQGBsJWvx5hPa4YFxHMt4AFO7Ix-UMkP15_r3ctjLGgFB-mElg8vmRi1C78RHGh0T8epLAmRjHSo8OGXg,45.78
1323580,1,https://sigma.octopart.com/37150216/image/Kulka-1323580.jpg,,,,,,,,
RH2B-ULDC24V,10,https://sigma.octopart.com/97456702/image/Idec-RH2B-ULDC24V...jpg,138.30,294,10,Mouser 199-RH2BULDC24V,Mouser,199-RH2BULDC24V,https://octopart.com/opatz8j6/a1?t=7sKttSoopcis54-klLZGt0tsxvoWE9Oc2uT042lRRLF5q0DViy-0KqshTgbyP2T0U04QMYlHNOOUuUcxjc4oJJvXCbFwd6jn81jLGNmDQsR-Q5kxBxrUczIRE9jDCh0jTnAUARchXU0ezbIW4bsGZrl4Vhb7CHjJ--LPFehXPoF1cKeMkfBc1iAcx_YESgz3Oi6YfGdxByNMpf65BTfMxFXVYX_BeMxJIGcV9hoFTqObdhifCDqDu-7bjPZ433PQVvUa3Q7SA95fA0J0cwLb1w,13.83
30TDVST2,1,,,,,,,,,
PSB30W-0700-42,1,https://sigma.octopart.com/148091577/image/ERP-Power-PSB30W-0700-42.jpg,29.77,257,1,Mouser 773-PSB30W-0700-42,Mouser,773-PSB30W-0700-42,https://octopart.com/opatz8j6/a1?t=GU2_u0iziSjLLyxbKDRyZdqK6hKbVmg9GYW4YX_v5MyygEbKlHMD9Cpkkd0UmrVeqdf8uPaGJcYQijxs20GB7BRL5eWsVKJ6h4mlaA7xHn8g3mf5NzXilhcTdLKv6OmpuNOp2gXamaxS4rGi_GrLLYHj0ueBPRXaTqP6ScIlEibjhxEVBpFr1kxnHV1uTjSAn9H19nWwK7ODXgrgYDjeAmjgbfXZXLg0uczpWEuAdoETs24_kxjZktJ56BR3ulLOUzZFISpKo_2HxDwHBdpB5jXi_2A,29.77
ESP040W-0700-56,1,https://sigma.octopart.com/150595323/image/ERP-Power-ESP040W-0700-56.jpg,22.14,107,1,Mouser 773-ESP040W-0700-56,Mouser,773-ESP040W-0700-56,https://octopart.com/opatz8j6/a1?t=pfBfKd8wV7bZLDy7M8FH3EdYXLST2xHtFjPvSkIMOpYgAdts24CMsKepIS_OLzIdxyf_5bcDtdU6rlvfcQ3JPJB8xPPsvkylowpt-mk5iDpl8e9T2MSvq8Cy1QNmfSAJ4daaIrYa5sBHSV9mPJb3V7hh3qohzpZWUJSWMq0HXuTORfXoLmFVKZNOtxUjD54LzFH7Fb2WPJoFdPRiBberhAjhV1NGBgQ21Ach3AE4pdOwfIZRK3PIFqRhjfG9EjmOtnQFGKCUn8ArHOxO6qAPZNFCSDvz,22.14
NBN40-L2M-A2-V1,1,https://sigma.octopart.com/123579731/image/Pepperl-%26-Fuchs-NBN40-L2M-A2-V1.jpg,,,,,,,,
BL1R16MV1,1,https://sigma.octopart.com/168018572/image/Crouzet-BL1R16MV1.jpg,116.53,1,1,Mouser 874-BL1R16MV1,Mouser,874-BL1R16MV1,https://octopart.com/opatz8j6/a1?t=ZcissnklDdA3HJ3zMtGx1RibmkZ2GmvvOA_Ln3vWtMg-p2hD2aAZ6WeSMbUWYgXIcHnMtrwJbI2vi-D9262ASksWCvVMRAEivJrsXc4ArybuJWUoLtcXu3bUgP5mvNUKQ6XkEOYoasNgZeaWkPMRTsUHt4XRNJmMsAwgg7LwRIQCds-XNYTKPAEPjvQI6P6vNXRTYgmnQ-bz4NE7DCl6_koF_dvS8n-z_mnGsR2UXziwHNPmqSn64JSUYkJaKfqG-GoLm4QIVSRYmco9dVJGT9j-xNsE,116.53
SLU-100-ASD,1,https://sigma.octopart.com/170574156/image/ATC-SLU-100-ASD.jpg,514.94,4,1,Mouser 830-SLU-100-ASD,Mouser,830-SLU-100-ASD,https://octopart.com/opatz8j6/a1?t=xGpXukEKw8gmFpKveEfzfmGY-pLp6TeJmLGSXghlH6Sm457ql5uYGodgt8_6DRfrTdeHFHDH3Jg6adqFn04ga5vhSTZ17EsQ6Faj4CboKivGtW5Sf04tbnhuJ7A-1aCLOKVjG0I9IPN64NzIaWYt5NARVg8DalcM2DNoFcCmEBORGc3dv0wcTU7Q3CvC79VGjLjIz0FHAVIdxcUiGjA6xCvsmdpufJfkxNv5fHFRO3lzspTlA1Pf6xTFgJ44pKbZ9McATWOokp7gTd8wu7uKrhk,514.94
IK250-73,2,https://sigma.octopart.com/122015921/image/Carling-IK250-73.jpg,66.52,70,2,Mouser 691-IK250-73,Mouser,691-IK250-73,https://octopart.com/opatz8j6/a1?t=lVsQSWqRR6MPmWhMNK9gusaRDK5uIEbP7JAweCWmFhQV7ZSJ6ifc4ngDaUmXvSaDF5q2gdx9DIFNNhG_AHI8vidYFdTVi0wlt780ehJnXD2ZFB8pn5eVAPY0XMOa7ojinut1zUGTmBgqDBRGlnAGbR1w5KM8mntjqvpjRjnc0ui4OFCzK35d0yNmKZkjtH785bgAaZYA4e5yEuRAi657pDSVQzmAUgrQpyfz2ZgcUcKETssbSvKaB35OKXxWTg12FB_1s3bOKQRQ0fWyT5R_1SArHV5meQ,33.26
TTGC-TA201-TW-B,5,https://sigma.octopart.com/141937094/image/Carling-TTGC-TA201-TW-B.jpg,46.90,0,5,Mouser 691-TTGCTA201TWB,Mouser,691-TTGCTA201TWB,https://octopart.com/opatz8j6/a1?t=FxwaHC8WOkqFYt2hcdaLnqV8Geml6ZUwLKO5BrP7L1SaKG2G-c_vZydPUg6IFM_5AMnA4NaJ__lWxaXy3PN8r4WWmcWg8oWabTv2y4_FdOD6E8WKKh8_9iwzRe062Z68MUcrYw5fPeIr1qhyR6m5idntCGdUgBNg7f6Wk-4waXTKe5NuMLQ2OC3dQac8uwJ54dy9qDOsxyID-xDgpjixgJF7xfoPKlM8b_81Jd1Q4St0DsBKjbHbAyoIzLD2qLzFqq6VwFDp-ycqNwEg-kAd1SnxIwMGPw,9.38
974-S,1,https://sigma.octopart.com/27620369/image/Linemaster-974-S.jpg,,,,,,,,
491-S,2,https://sigma.octopart.com/168186010/image/Linemaster-491-S.jpg,,,,,,,,
241-5-10,1,https://sigma.octopart.com/149826515/image/Signal-Transformer-241-5-10.jpg,,,,,,,,
ECM100US12,1,https://sigma.octopart.com/10068891/image/XP-Power-ECM100US12.jpg,117.05,49,1,Mouser 209-ECM100US12,Mouser,209-ECM100US12,https://octopart.com/opatz8j6/a1?t=4XASJQk1Jzgnqr7eUFJf5VrzDCBTbpNoWXUjQ_QoaV26nHAfS0Y4hUpRfLU1rMiw0VCTW-xCiAoZirPGFR2a8gPfIiRYOUtnMeHxIX4wTzcnc1NwwNfBxT2vv43f8q_z6JzQDjyFVrvddw19bymG2PEqNqGDKLWW2GEvP_DYnp1AE9JSleWXRA4qB1FCtDDrliFWESIxwuXOkp_DhR22YdwtVanRGAm1aCJLcfXUY2eGBQ99w8uj8YkG0fJt6u0GRiWK9HTZH2OkTWGiv8oKNMjjqRfv,117.05
ICE40UP5K-B-EVN,1,https://sigma.octopart.com/148154177/image/Lattice-Semiconductor-ICE40UP5K-B-EVN.jpg,95.49,53,1,Mouser 842-ICE40UP5K-B-EVN,Mouser,842-ICE40UP5K-B-EVN,https://octopart.com/opatz8j6/a1?t=BrdR4RMSNBYqFIpsI9ID1RQRAIEpEHRJ16s1_hsE76QUWi8ObTHqkpVCzO-C2jb0LhjyIzmBKQUodSD4UeYY7tggMorn8HEDOjO-qrGgRkwx_EQDwQK59lfn910p0KU4JzVkKMlD7gbMx8rJ1OV-FSZ8oDuvrEJ2jhVUxfLm-vF3EceLYAkXTXHc5gVUUztmGi8hw5d8YE_vs0_oMa4msnIHYD5X7-xRs-3M0M1v9rSHRZCuqRV-gucr2_TRhNfkNKFpSTpqt0fhj-rDhLRMLS6CHKHD,95.49
PCM50US24,1,https://sigma.octopart.com/10071489/image/XP-Power-PCM50US24.jpg,128.62,5,1,Mouser 209-PCM50US24,Mouser,209-PCM50US24,https://octopart.com/opatz8j6/a1?t=7ZcbIr_OU_t-MrKf-4pgFYUtemd-YEweInIdhNTm29zVrhej9CduG0jfAxYlM9Sejq3ADcItnbeahCH5ZZ8q4YfhAKTKoJZq8KrIiuvpC3MBHRxX1fvNK_8lJqECwisAwxDDYWH3p1pu4xoKhocI-1L9ohU69BkWhS1_0kg6ZXG5QzuJKepT0vzrWdVl3LWrB37WNaYPy5-Ix-Jdyz7fqH6EHJoDIF5-yN6O520_GQceWGk5EZKXtXKBcAsTmjPHkEb9lloiOJbWZw2K52uEkZde8iV2,128.62
LDC15F-2,1,https://sigma.octopart.com/149630384/image/Cosel-LDC15F-2.jpg,,,,,,,,
LS100-5,1,https://sigma.octopart.com/155403344/image/TDK-Lambda-LS100-5.png,37.6,74,1,Mouser 967-LS1005,Mouser,967-LS1005,https://octopart.com/opatz8j6/a1?t=LVhHDDZ3sv_A5nV8Y6yZLj3E-aiGlLRXv1q3qWyOzoJk9apwlDLeKnu4mX2WDmU8bz7h_9W76qFjZCrMzmsoui8q0mOUOWgJyUz2CydddGF5_mxnfES9mlOl3X1F6rHGVX2_jt94CNiINYXzbVzka4AKgZSO5C3_gGnEbM5QNTgNhtuiOZ4nkTdgtN7pBThj2SAkoYp0Em41K1NNRdycZpddrw249fMeu84Q5Cj5f3ezBsVM_27DEUTuiDZ0UWfPg1IgiLYygvQdHzn3MUuF1EoyfRE,37.6
N-53MG,1,https://sigma.octopart.com/8719331/image/Triad-Magnetics-N-53MG.jpg,65.77,4,1,Mouser 553-N53MG,Mouser,553-N53MG,https://octopart.com/opatz8j6/a1?t=abIxERJSdKESiMw0kzrppfKDZzW3tgs5hrnnbfCYiwKWdkKGcrNtFrI0mlt5ka-JBJmec_0a5Yf9FHqIfKuIPXs_ftR2_sqLgkaUx46h6Ng0xF8e2dnWyICs9yaW_Zm4txw72O-x7QdzpGJt3iQQhjRrvgKgWTQ8YYh-GFVemVYmjHHhynQn-KMaXAUFWfOHFNXkiaC7j220wxdR8uhh76ZTwBSSRUVrybqaBe2itAfdgXwfJ0GX7P63PYdq1F82Y2ekP_MqDPviGnrgNHyxkdoM7Q,65.77
VPT48-5200,1,https://sigma.octopart.com/10049818/image/Triad-Magnetics-VPT48-5200.jpg,81.89,4,1,Mouser 553-VPT48-5200,Mouser,553-VPT48-5200,https://octopart.com/opatz8j6/a1?t=vN6EOfM1GOuZ91AhjsCjyw8GS9xal_KwpPwc6uiFKjT-8Ge5Mz5nHCnKnwjQaIHoCDiTCzgnmjH8g_TlI9RMxZjjQrnDsY_YoqVdT5yi2kvXZeG-hVvaakn0eqFjM-xsMUnhuZtphIvzKQY2KlGC-xbphsDD49wOP_ceyBEr6KPchLWKUwYKGPm-JzRxgyyo5EY5jW1ShSyBbKW02G7q7PNslj4nLWcgw-RjOHpAX_GFcPWN_we3WIfaGVEGOkPN51yL5FroJAHNN5CeP65NswrkAbsI,81.89
DNR60US12,1,https://sigma.octopart.com/523865/image/XP-Power-DNR60US12.jpg,53.45,5,1,Mouser 209-DNR60US12,Mouser,209-DNR60US12,https://octopart.com/opatz8j6/a1?t=zpcjKr5KOUHe2Ty1BowBmYjRQDsuPzcrUAeAvd44n6QZFFYhHNBuPhAyLYIw7LhTdCw3FW3IFqNOrwH7ZJq_HulxHv8gmRh2C5UXSkfrzEq7xr2qy0Yj04Uc65rp62r7l5DX91eZNOEWf0wp0CE8MjKVPNJIoqxJ9kZhx3XyDFh37NL_hZoNrLn6zfBES9rTH2jHlvRBNrpgoYe1Lp1VkdguHoC65INhku8bIUc8KCLbCfC3p0mxOfR6DluBH-vDWAr0zVr1KxNCrv1DrNxtEzC3lSs,53.45
