Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
DT06-4S-2146-0.6M-DT06-4S,1,,,,,,,,,
RSSD RJ45S 441-3M,1,https://sigma.octopart.com/138790021/image/TURCK-RSSD-RJ45S-441-3M.jpg,,,,,,,,
RKC 6T-6/S618,1,https://sigma.octopart.com/12140070/image/TURCK-RKC-6T-6-S618.jpg,,,,,,,,
B 4151-0/9,1,https://sigma.octopart.com/10070056/image/TURCK-B-4151-0-9.jpg,,,,,,,,
FKFD 8,1,https://sigma.octopart.com/147485645/image/TURCK-FKFD-8.jpg,,,,,,,,
843473-1,1,https://sigma.octopart.com/67015631/image/TE-Connectivity-843473-1.png,46.47,3,1,DigiKey 843473-1-ND,DigiKey,843473-1-ND,https://octopart.com/opatz8j6/a1?t=AckzVw0VKgw6bJxuHDbcxFoAmTzI76bwKNaT3e-YNNMpZNBK0-yLbsl5XWfr7yy61AKHjS18rNz66jFxej9HYBs4-U6NzqCDuv3Zrs97y2rfe8k6wOgbW_XPRTllw9iMwLCQSxHU2W9dZfjTYqFSlkLZpHjC67UeKaZglGxoMSMG-UbvN3bB97TSqR6C_vFQ10fr5GR24i8fluhndCnXprT3jD-CxuItzO2uEs-NQ-5jcRBNW1SONWs0lqjfO_XOn06rsra9O0c2prFTA0Hy-lMSRw,46.47
SM31E,1,https://sigma.octopart.com/10074237/image/Banner-SM31E.jpg,95.0,1,1,DigiKey 2170-SM31E-ND,DigiKey,2170-SM31E-ND,https://octopart.com/opatz8j6/a1?t=Gh5AKgiAbVlqSMC7TAA20tjdRlgfpyjOf_0NGYX-2N3OYZQ3HEdd3waxgiTeU8bGJ9EvShhJjCVee3uL0Xr6FpEVm6NZJEfIVakDWNqYXSTg053NFAsB9c095sr2dK9o5zle6ccVbmaMtF8a15p7O42LMqZM689It5Kmk9v3hf-RsQ31EPSqbcrgQhbkxNGTT4ZsLyW0llhS9grDZni-IYCFB5dNkduL1rep_wDLLt_rz_kqHnL-CQHk7uo9254f5YSPyoXhdIksi5ND4mM-_Yw,95.0
1300970262,1,https://sigma.octopart.com/147894708/image/Molex-1300970262.gif,48.9,8,1,DigiKey WM24695-ND,DigiKey,WM24695-ND,https://octopart.com/opatz8j6/a1?t=P0MUgclNxLbIwRJGR3tkvRwgPk1hBkDwY8ixgaJURtVBhszTL4HptJQx8CfgGKpuxiL4khTeaDJyVSdTltDpMKKNYPojYFPPK7cWQ7xVjx3W6OFOdElu0YKI0bM0CsdPIaCGeqbZMhpgpBFBHd-cdDzfggtE5UM2MuVzagdFTd9EP7YNDXDrhKx3fUdqSgb-jdoHj4TnHr9YXIPFnSaF6fkUnWXqpZmMH2iZAmcvng7dGSckNa2bbskXLq8NU_V6lN_8VblH73rlPD4i9URTN2nl52k,48.9
30VSB6,1,https://sigma.octopart.com/55976009/image/TE-Connectivity---Corcom-30VSB6.jpg,74.49,9,1,DigiKey CCM9072-ND,DigiKey,CCM9072-ND,https://octopart.com/opatz8j6/a1?t=snRgM7jT46yxr61A_CoE-8DJeU8XweciotVq-q6MWMGnWpna8Mj4BR-HRqw9Zu7p_ABZlSoGZc8f1bJvpScXC8KMWFHd9ahxaw7Ods-gfXvvvoDPt05rEjVSqNnGLQSMfNsqKLbIgJZ96FACGkg7XYpnVts1mFBNdvbQWLpyQlDwu7HbMa0wNbsJ0RYdDpfYUASj8RMjg3TlOQDEnZoqahxwCyCxcGLamtceuzUUIVDP8nX4OGjuhjLhY6k3710bZ-LWCfn7-uYaud4GkK4VffZ_uB8,74.49
EP-6-11P,1,https://sigma.octopart.com/40867572/image/Amphenol-Audio-EP-6-11P.jpg,33.52,10,1,DigiKey 889-EP-6-11P-ND,DigiKey,889-EP-6-11P-ND,https://octopart.com/opatz8j6/a1?t=mWMkH4l7ucBKczlV6WCwVvWzNMXJv8zskyEy2va0qWp5UchMXdpvRVggxdMjxy2PUogzaW2KgVG5XhK82WZ8IUkHV-R5oCafBRoq6YaP-JTZz9F_B36WIqFzt60UXGTpkYFze0c4oeKsujigJhKrOh1utkT79oRQFHDyPrMfIjuytipzBtrkOrQ986j-EHsytuOMPWkwlbLBCKreD-74NDiSe87fjuclFyDbMch9MPp0o5N0NI4flEVT8xeSwFRA1vxbPpiYeOgQbulLQkHntOsqSAQ,33.52
TRG610-T6T-1M,1,https://sigma.octopart.com/157586593/image/L-Com-TRG610-T6T-1M.jpg,156.47,14,1,DigiKey 5073-TRG610-T6T-1M-ND,DigiKey,5073-TRG610-T6T-1M-ND,https://octopart.com/opatz8j6/a1?t=J9dlxm6qBVkfGlurXs_aDI1rmCxyFXrhO2CAY9wJmmM41nY7e_zf7MWxKAoa1ZkZj4mNhzGzQVdFpsgXEj6MvPrWxh78RRZERfBBC0VSjocLjmugLEHO1GloChJGoeXUK6MR2n29ZDCwxtz0edRl0sUDY1-B00Xbv_YlAFLv7GSgTA6iaTeMxX_7iprjN43tgiPhfb2fGCMzG_1LHkKL3_PDyT38M17oXmdmIF0oiZyDdzjCKH3UeySBEkm6bHVKuno2Z264efj8QcmnTO5CueL2Y_c,156.47
