Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
PSA15R-240P6,1,https://sigma.octopart.com/135605823/image/Phihong-PSA15R-240P6.jpg,,,,,,,,
PPL36U-120L6,1,https://sigma.octopart.com/137743277/image/Phihong-PPL36U-120L6.jpg,15.0,6,1,Mouser 552-PPL36U-120L6,Mouser,552-PPL36U-120L6,https://octopart.com/opatz8j6/a1?t=JEHQzzCh4zUrqrNX6iVgWXm9wYsTbxzfmOQDQaOLmianbogTCQ-jM9P12lz-d7vQVaBvNJmImY6lgpejkjxF5tRXIdh9vyukgUwMqanVUwDs8g69Rvg9YTbmt1ZiUTxyuL6-2eAF_ZpcyOOfgraY5SubzovQblzeOtaEjFJ7bfF4Eet2FX1wzcPrCYXkxy1GprhOsxB3OV4s35wDt9qpAzXqO1sPsDJWsyTqW44wfr2BqupOtRDXNPQIdAaKEuUwu6J2JLsv6YQM5m_QTEBzp-XeYQiDsA,15.0
GAZ032UL,1,https://sigma.octopart.com/138851196/image/Lovato-GAZ032UL.jpg,,,,,,,,
KBCC-225R,1,https://sigma.octopart.com/12090874/image/KB-Electronics-KBCC-225R.jpg,,,,,,,,
KBVF-22D,1,https://sigma.octopart.com/11511144/image/KB-Electronics-KBVF-22D.jpg,,,,,,,,
KBVF-24,1,https://sigma.octopart.com/11511144/image/KB-Electronics-KBVF-24.jpg,,,,,,,,
KBIC-240D,1,https://sigma.octopart.com/12100531/image/KB-Electronics-KBIC-240D.jpg,,,,,,,,
ADAM-5017P-AE,1,https://sigma.octopart.com/65705224/image/Advantech-ADAM-5017P-AE.jpg,258.0,6,1,Mouser 923-ADAM5017PAE,Mouser,923-ADAM5017PAE,https://octopart.com/opatz8j6/a1?t=bzFQ1Tstf1RjZd-ar7z1pEgzo2KW6ZM5K6g2PmOdR8bohSKUOu-vZuMdCmorKyxH4BG8WsSNtuWK1NqBwsz0exaG5ZV_n1hCjtm8tSm_LIvvt74Rp0At2X21p2XdZG_l79pWbmd6E4NhDMbdDpjZQYj8awz7WDip6QOT3R7XcALqhNZ9yFi7VaaFxhUx0HB7T2e6LT51vaDvzYxqk8qi_Iw9L7Tn75MG_JJCwaCiYHeaoaqqvaPiR8OmSYJa-8FD_bmVrisxJ5s9BKyrUuROPoK9g2r7,258.0
BB-MESP211T,1,https://sigma.octopart.com/141007970/image/Advantech-BB-MESP211T.gif,,,,,,,,
BB-232CDT,1,https://sigma.octopart.com/152595371/image/Advantech-BB-232CDT.jpg,95.8,5,1,Mouser 600-232CDT,Mouser,600-232CDT,https://octopart.com/opatz8j6/a1?t=cJVpEYk8Ac_zrXrpC7a2InQ5uUeTGOEFkWsv7b6a4-xkANjY__LMs2baeDgGwg89bnAIGnMiGLAeFrh7OxW2qKd0w2lSCqmij_YoXGGJp2MgzK4TWPe18c95OTDQYbYtvi15bCIy4K4nYjGQLJLuEwtYIFxcxYmGAF0MX1PU_FrT231kZhde-FiCzGk8qP8Oil58GqedqPwJwFVn0mMPpw-jwZkd9HS986wmSPehBQQfcHScZC8MrGkPqOEdWsQ7inixuB5kQawgS7f6K52U_eM9I4s9,95.8
BB-RPS-MO4-M,1,https://sigma.octopart.com/152595371/image/Advantech-BB-RPS-MO4-M.jpg,29.75,6,1,Mouser 600-BB-RPS-MO4-M,Mouser,600-BB-RPS-MO4-M,https://octopart.com/opatz8j6/a1?t=OLlupazdzu80m9_rmyAbDSb3zAOm21DQodwU0NaAateXeKXxTkTyc-2CxATUD9-nt0AA8JMZniz4Bvlw9Pfb0XDBgj5cXdIanKGDoXOdigFNQkX5sYm92ZLV46_QfujSwZMQ2AtJhdJl7Q9c9gWrVh6UC4uDvj9KSah9B7-IYMOvmMoe2Hfob_ewkvwTV-z5YpG2LlVJLDcd7ASQidW-2YIUNTH12qTcH5n3JCag2sUQg197Xj2hvExZ8L28N8YVE0iLiLFREmtyCviK_z__bt76jeo,29.75
FSNS6RCAU-25,25,https://sigma.octopart.com/21255540/image/Belden-FSNS6RCAU-25.jpg,172.75,0,25,Mouser 566-FSNS6RCAU,Mouser,566-FSNS6RCAU,https://octopart.com/opatz8j6/a1?t=d030uNLDJSN5ZjpnmweWdvRmo5_Q2SD7o2klNQJMy54D4KV2P8Sau0aieY921F0rhSI3bLAcJevTPMfnwGMxjwPp6JzH2qshLWaXR1WxPew4g_u57HeJW0588DpjVnrdRAjZYoTdZVQi-CecuGgpUVL8Qmuem65yn8bcq7bSKi5F0Lf9Wbt7RnMf9ggTe7v_p1iyC9Iy2S-YNGJDxG_T648Wm2mOykcZSTMI9iT7dilRHH1tm7ryncpDhOd4pF_kIUS79eGG_9aO83Cet64l86ZSctg,6.91
81.000.6140.0,1,https://sigma.octopart.com/126582474/image/Wieland-81.000.6140.0.jpg,,,,,,,,
T8AP6D50,1,https://sigma.octopart.com/66124443/image/Banner-T8AP6D50.jpg,142.0,0,1,Mouser 778-T8AP6D50,Mouser,778-T8AP6D50,https://octopart.com/opatz8j6/a1?t=UEv_QHiyLURkaNkDHGMFI_Om-UNs6l619QvYMbIU65BoQjVXpzkJV0lH-d0A_7BQuadVSvNJvJNuAhMhyQdcLddhOcdWgoi_J5OFswZsZXNXFOPKz9aoqLVUrbDVTBeI4gxs38gE3xNcv6WFNgNx5muclqzp-nGAfjYwvrS-1aN3gpYNzL3mqr7ZywHpmraJ3JjNwFXon-iVgkMqsjyK3riGBOoVQs9Dcgan_2A791peOh48cC9tDuCPxpqvOel1kiYYzA8_gIq8wfiMn-28XFz_T1E,142.0
