Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
DT06-4S-2146-0.6M-DT06-4S,1,,,,,,,,,
RSSD RJ45S 441-3M,1,https://sigma.octopart.com/138790021/image/TURCK-RSSD-RJ45S-441-3M.jpg,,,,,,,,
RKC 6T-6/S618,1,https://sigma.octopart.com/12140070/image/TURCK-RKC-6T-6-S618.jpg,,,,,,,,
B 4151-0/9,1,https://sigma.octopart.com/10070056/image/TURCK-B-4151-0-9.jpg,,,,,,,,
FKFD 8,1,https://sigma.octopart.com/147485645/image/TURCK-FKFD-8.jpg,,,,,,,,
843473-1,1,https://sigma.octopart.com/67015631/image/TE-Connectivity-843473-1.png,41.72,32,1,Onlinecomponents.com 843473-1,Onlinecomponents.com,843473-1,https://octopart.com/opatz8j6/a1?t=0ETumMvwHd4at_To4bpNPTLBYKWXSLRiXr4-kSwEoHy5wieEX5NzHw_qGTAdyZULC0fzCxsv0OO5tWQAIqFXi5Q4Eg7mB3fsSajU2jvYe0X_t9u91FYYZg35niLLU9F5C26QoMd8YiV49KH8dMXpo2P832wSf7cSRXicStY42Pf_mVsn_lGEGkD2FPUwyKD3RwtyhoEaSvGDgTvBdLozBvvbYNuC_2xz3ljb7I2Wb3T5TSHAXnYjnnn98Psa57ECBdDPpw2GVNxdVojm2MQ4w4uZFIA,41.72
SM31E,1,https://sigma.octopart.com/10074237/image/Banner-SM31E.jpg,,,,,,,,
1300970262,1,https://sigma.octopart.com/147894708/image/Molex-1300970262.gif,93.45,396,3,Onlinecomponents.com 1300970262,Onlinecomponents.com,1300970262,https://octopart.com/opatz8j6/a1?t=qPAAlTj_0oq-aRZpAA9CjcEWh2mWBNDafWJQmnZS9twAtaEQS7tGeAOAzAkJtLqb0ySu3l_sSPAwHUsZpWrGHNRcSKQ1_IavM4CDXlQ6_O5kBqI5qybAJZjBlYaP_nPDDe1ApCQlzPGw868o074LMKJaiC8JRhArQ7I20KneRRp3XnQ_ODaThR9PLba03xRzSCud4YtWzeL2Xl9WjkvXbm1Zast6qTRXjd8XIK1emybbyuTwpeHt5PTBo9O778eDjg5NARtbuDhgBKh9MgSFCTAOKicp,31.15
30VSB6,1,https://sigma.octopart.com/55976009/image/TE-Connectivity---Corcom-30VSB6.jpg,136.26,9732,2,Onlinecomponents.com 2-1609034-2,Onlinecomponents.com,2-1609034-2,https://octopart.com/opatz8j6/a1?t=qTAw0LGT8yLzon0z_IP6tKe0LKdEuF3p07Abisf2QkTHimudF9wO3hfCjfy3FBdXNvPttihcS4augzKOZKvFKSwsumf-ZbxroYVNGVNHnX9IknvXISw_nkU31ghlYZ_NGyvCeTeDILXQgvLeET-JWUxAJWFBByACRq8trOMpPP95ngeECbEEcAj_s37_aECqvmNs-NEvv9xi5_Bz_2pRaXDQze6UwOU7Z3NxKEOJCmzj_eBml-HNOJIeRKq1v7Uc2Bl2sll4_kYZg0bNIc3z4q5NZ35H,68.13
EP-6-11P,1,https://sigma.octopart.com/40867572/image/Amphenol-Audio-EP-6-11P.jpg,28.95,20,1,Onlinecomponents.com EP-6-11P,Onlinecomponents.com,EP-6-11P,https://octopart.com/opatz8j6/a1?t=adUViLliPlHX34xeFd1LcVnXESrqF-9rSgqnHwjBEYx33JnMWSQxgSJlzxwpxUqeFaVtt74E4BnREZBXl1u8e6OHG8VgVktavQ6oLlT7j_y7j9djCzuNy3a2LlhA5dFObKHfmTEgPVqh_WHq-J2FltDWmZ6kvCGiEuThPZk83Oh0GDZ7ftiE4Ff29ULnrDAxy_2HSbfzt7BXLcnFiATAp42_JNfleia5S8ZvCYWqoUKnKRuy_CHIi_8SusKnK1nXRD6dkD4WK39j-duIcnDL38aX6_aY,28.95
TRG610-T6T-1M,1,https://sigma.octopart.com/157586593/image/L-Com-TRG610-T6T-1M.jpg,153.28,0,1,Onlinecomponents.com TRG610-T6T-1M,Onlinecomponents.com,TRG610-T6T-1M,https://octopart.com/opatz8j6/a1?t=7xOJbppRdMEO3E1ptFtQoOeGtKSUSTLYfjIZhVbubkFATJ88pB7BHlkEMonH2shBPkiZSfeAvWyjmr4yQHNEWV2Jogu44moGFcEvQabLTAJe-_I2PZLdPutUpLu2zQHMa-86H-Y9gKMoAJosLA3zWxzlMo56RKN2H1EuFJhzfJxqJKjVF4yDLiEcwsPDd9mRDQkwmZGG3KdTPJuRFAo7WqJ0CU4tgRePziM0JPOEK0KCy8ApxGU3U7wYPH7fZpT3LKLTIgN5IAKEfBQ0ynbdoLFFo3tn,153.28
130920-BK-E,1,https://sigma.octopart.com/86010000/image/Metz-Connect-130920-BK-E.jpg,95.95,0,1,Onlinecomponents.com 130920-BK-E,Onlinecomponents.com,130920-BK-E,https://octopart.com/opatz8j6/a1?t=jEnrNGYSWe7fERCll-MRAFhjlp9g-o2zBruRd7K10InqkB_sr1WKvFUcwykqzCFvq-YWKvhJcE__B8ZUb7mA9UGROs-WgEIxpU60GmuHRRySYauGmA5E5fzqQoA8sV1P79NH_qSk26qEbyvdQJwRzZ_QAXI0tehBYPQoiUHQqu4XUXO-J40WeEC7i9Z25BX-djrf7ajP4waDJ2f9oY9bVvozif7yaL1qL8NGt1X_0-IA1KzTwnJ-Kn5OSjZz97O5niBt_xUWqkPhSUJtZUelzQtpVUk,95.95
