Original Part,Quantity,Preview,Subtotal,Stock,Supplier Order Quantity,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Unit Price
2961312,1,https://sigma.octopart.com/146508257/image/Phoenix-Contact-2961312.jpg,30.68,142,4,Onlinecomponents.com 2961312,Onlinecomponents.com,2961312,https://octopart.com/opatz8j6/a1?t=wAc3yCQbXFA-j2JbtLTasipOpxZ0xGrvg9e9IQ2vVJelj42vN8IfPxP9w5LIegTTQ-HNpNjquM6qaTKG5g3WNvpc8LFiNDz2LueMLkXtfz5gFEQIdrIPyN56PccvppkWpHxhPIMv7E02u-AiCLMhBEkgaTIHampHrX0dCVuX-LSruzVoQ7qqvDJ8tCPB6rKktyWI6jVg8cun5OPsfvUOJ1Lw5OiDEz5nSB0b6qyFl7obNnYqHjdz_HuVywBxNclqU6cz1sGH8MDHt593JS88nzcIEA,7.67
V23132A2001B200,1,https://sigma.octopart.com/184328848/image/TE-Connectivity-V23132A2001B200.png,37.85,470,1,Onlinecomponents.com V23132A2001B200,Onlinecomponents.com,V23132A2001B200,https://octopart.com/opatz8j6/a1?t=Fc_OxKmh1ux7AaH2k5ojcK75Ms86IK6X8tvaJ3VBJckKI0SYRY53ThBsqrDUr1SaqVLeF5xpWi0WRhPnp469_niBNEKkXrFvOmTBqVT3sc8ZIaKrdGSry2cgRge6HDdUI2ai1gD9PlwIVdx_8mV3zU-MrRZfqwnug4JooJ_FIvsgpkxKw4YrH8FFs3q8rAmN9cY0XyFQusrMe8vJTwtlnNmKor1LtuEOhUZCj6D6VHkKFT3IiVY6JSlXf-VmJ_NVxCeC5g5W8Ij_2Vtweup_JVRMnN44,37.85
3115PS-12T-B20-A00,1,https://sigma.octopart.com/149708473/image/NMB-3115PS-12T-B20-A00.jpg,77.85,0,5,Onlinecomponents.com 3115PS-12T-B20-A00,Onlinecomponents.com,3115PS-12T-B20-A00,https://octopart.com/opatz8j6/a1?t=NVxLDxHl1wmaB1u9h9hMlIULYprNFhe1nk7kQTKbcZLFXTNSGXmmY0WsrPwgFuSKYJhmEfTjQ_t2Gqh6pWbNiOgthERd9s3rgxCoT7LQZzwwHIS4yVnphCwJQZT6WzOB9qY1o8vKbo0u6zbUKSmCBetWmAC_PD4mXhij4SuHCWnaCpP77LYA7291gmQujmvVuj9RblRoC-mLcip76xvggJ8x2uv5NwKKY39lGTONENCFbjrDbhYVRf0V0t6inCyROBNkgnyxygHvmUT461rHPHLu3t7F,15.57
CBL-F9DPF1X4-BK-100,1,https://sigma.octopart.com/152736998/image/Moxa-CBL-F9DPF1X4-BK-100.jpg,,,,,,,,
RS-200,1,https://sigma.octopart.com/10280942/image/IET-RS-200.jpg,,,,,,,,
4710KL-05W-B50-E00,1,https://sigma.octopart.com/27236330/image/NMB-4710KL-05W-B50-E00.jpg,0,76,2,Onlinecomponents.com 4710KL-05W-B50-E00,Onlinecomponents.com,4710KL-05W-B50-E00,https://octopart.com/opatz8j6/a1?t=Kf_3niOLbKEPS8VJcvIXWyYXOQaXlyTSjSgsSDQpUgj7GTuTCs3SxI9PEBMnEVYHsnFNiW9b3xHnp1_QFpEBOnV1tj7EvXmHvUe1GNsI2liL_bzTSpIfymKRtAgIyEi99dNZBMSA7OWPRCIGNs431F6vx9HhecKMeIjTl1GyYuN7bnOQaK_5l0nWImaJcRQODT3dR-b9P2shByXeL9B9GuJHtVlbZQ9Zg0Qsvygbt4W7vpo-3VTnPwW3tWyhWugv4Lwjog1UAcDr5uAhbmcl9HfDQw,0
5915PC-23T-B30-A00,1,https://sigma.octopart.com/67293209/image/NMB-5915PC-23T-B30-A00.jpg,0,240,1,Onlinecomponents.com 5915PC-23T-B30-A00,Onlinecomponents.com,5915PC-23T-B30-A00,https://octopart.com/opatz8j6/a1?t=gvd_5Gwer4Bws2jPrqO5EwNvRFW1otTJ5a4nq8atyfN8VyxhGfJ2QQZUF9iNrzU2KKcI_UuvqsEf02Fj-jhfTtXMECWWwYiudr3hfStxXR3yca65K08M-3sMLa3GCPnErwBNhyY-4QG6DVPqw10Rr4lZuv2Ffpcl2VczZiOxbENyuS98dCJcdAS-1_fRpWQwOlAwpOf-8ZHQ67DAvHidwNH_npRZ5T6dsHVAQGwU-5JIDVWnosbLK7PdPj-jnfBG_jxbv0QPe7_mwL6TSWSQidvL0g,0
IUGN6-1-63F-20.0,1,https://sigma.octopart.com/126403182/image/Sensata---Airpax-IUGN6-1-63F-20.0.jpg,284.73,0,3,Onlinecomponents.com IUGN6-1-63F-20.0,Onlinecomponents.com,IUGN6-1-63F-20.0,https://octopart.com/opatz8j6/a1?t=MqDOA8Y2aW3d6l9EhNqKkRNOw_iBd7DeUCZzA5ENK-k1MdO4RP_3jvyxYE8RGxeIevxgiyz4cfWpFzraDhyN--YHNpXe03Pm1rMicS3WKQPilMmOFsOfXke2w5ZjPCrORmJ6zrdepNQM4cX6lx0ID-3CU7vsOOiw4FcXa-2WYH7ARM62IARkoIg5kZQZPIB-975ziWCTYRDX1I1UNtql7zPJboQLw3qzt0QoRRm4elNU2TteNdEYlu_nuMNuLYX4CuHBbA2S1fcktBua7EkvneogrZhi,94.91
CTL-5,1,https://sigma.octopart.com/21361034/image/Amphenol-CTL-5.jpg,170.07,8,1,Onlinecomponents.com CTL-5,Onlinecomponents.com,CTL-5,https://octopart.com/opatz8j6/a1?t=qjALBc2lqu39XLzz4dEmf4TLf24CAxDPG6tMA2LBLLvoJF0dUT-MFoG4qv32O38NrXHgqOYhI2i75p7ZPKGfGCG3y_Zi1ekC0YVd-vdj17v3jzTUdcW09GdPUisrUqr0ocH8hhdD77DvWujMjSAtn9Hc93F-aLEnVsEvG5pP_t_oi87P3Axb1PunHM1QCTY4SLWEwNzUC_1w_u-JTNttRKLZ-JpBqJRgu-35ev77WJKh0ZUz5qCEftscE2AzGBx-xICVTtwUY7w5Kljz2qOwZMcIxJ96,170.07
06025SA-24Q-AA-D0,1,https://sigma.octopart.com/130145778/image/NMB-06025SA-24Q-AA-D0.jpg,41.05,99,5,Onlinecomponents.com 06025SA-24Q-AA-D0,Onlinecomponents.com,06025SA-24Q-AA-D0,https://octopart.com/opatz8j6/a1?t=9hb_roJBto4hDGq-juN_N3D82IusqTXpaj7V2YmdiKYfESDkCpI7oBrYcYroseepzFAblMHfI0_0lE30bMEvMDDnjf52b85BuKh3tYI5bLnF7_CwFIT__uPHt0gCyx7p7mV-mgogZWGR4Ce58-aqRM3-4D820bTvNVeDegDkrq1xEd8QNEaev7oR-uDh0Nle7CiYclHy4o6PziAwER7iVL81pCdEOcQDGto-oTjwldX45m2VLCcNtFwfXMpoZnTgvfN-u-wS_hE0jhhdN4iOWZSkuZVA,8.21
